id,numb_dem_votes,numb_rep_votes,numb_ind_Votes,numb_tot_votes,seat_make_up,contested,numb_tot_seates,numb_dem_cand,numb_rep_cand,numb_ind_cand,numb_dem_waste,numb_rep_waste,numb_dem_waste2,numb_rep_waste2,dem_eff_gap,dem_eff_gap2,rep_eff_gap,rep_eff_gap2,numb_dem_surplus,numb_rep_surplus
Strafford No. 5,1368,0,14,1382,(0/1),FALSE,1,1,0,0,677,-691,677,0,48.9869753979739,48.9869753979739,0,-50,1368,-1368
Strafford No. 6,16238,1701,2,17941,(0/5),TRUE,5,5,1,0,7267.5,-7269.5,7267.5,0,40.5077754863163,40.5077754863163,0,-40.5189231369489,14537,-14537
Strafford No. 7,864,800,1,1665,(0/1),TRUE,1,1,1,0,31.5,-32.5,31.5,0,1.89189189189189,1.89189189189189,0,-1.95195195195195,64,-64
Strafford No. 8,532,706,1,1239,(1/1),TRUE,1,1,1,0,-87.5,86.5,0,86.5,0,-7.06214689265537,6.98143664245359,6.98143664245359,-174,174
Strafford No. 9,813,901,2,1716,(1/1),TRUE,1,1,1,0,-45,43,0,43,0,-2.62237762237762,2.50582750582751,2.50582750582751,-88,88
Strafford No. 10,682,823,2,1507,(1/1),TRUE,1,1,1,0,-71.5,69.5,0,69.5,0,-4.74452554744525,4.61181154611812,4.61181154611812,-141,141
Strafford No. 11,726,771,4,1501,(1/1),TRUE,1,1,1,0,-24.5,20.5,0,20.5,0,-1.63224516988674,1.36575616255829,1.36575616255829,-45,45
Strafford No. 12,760,786,0,1546,(1/1),TRUE,1,1,1,0,-13,13,0,13,0,-0.840879689521345,0.840879689521345,0.840879689521345,-26,26
Strafford No. 13,1095,524,0,1619,(0/1),TRUE,1,1,1,0,285.5,-285.5,285.5,0,17.6343421865349,17.6343421865349,0,-17.6343421865349,571,-571
Strafford No. 14,1048,530,0,1578,(0/1),TRUE,1,1,1,0,259,-259,259,0,16.4131812420786,16.4131812420786,0,-16.4131812420786,518,-518
Strafford No. 15,1213,1027,0,2240,(0/1),TRUE,1,1,1,0,93,-93,93,0,4.15178571428571,4.15178571428571,0,-4.15178571428571,186,-186
Strafford No. 16,1176,754,2,1932,(0/1),TRUE,1,1,1,0,210,-212,210,0,10.8695652173913,10.8695652173913,0,-10.9730848861284,422,-422
Strafford No. 17,4963,4805,2,9770,(1/3),TRUE,3,3,3,0,78,-80,78,0,0.798362333674514,0.798362333674514,0,-0.818833162743091,158,-158
Strafford No. 18,5501,3136,0,8637,(0/3),TRUE,3,3,2,0,1182.5,-1182.5,1182.5,0,13.6910964455251,13.6910964455251,0,-13.6910964455251,2365,-2365
Strafford No. 19,2055,1134,0,3189,(0/1),TRUE,1,1,1,0,460.5,-460.5,460.5,0,14.4402634054563,14.4402634054563,0,-14.4402634054563,921,-921
Strafford No. 20,2228,1878,1,4107,(0/1),TRUE,1,1,1,0,174.5,-175.5,174.5,0,4.24884343803263,4.24884343803263,0,-4.27319211102995,350,-350
Strafford No. 21,3821,3183,2,7006,(0/1),TRUE,1,1,1,0,318,-320,318,0,4.53896660005709,4.53896660005709,0,-4.56751355980588,638,-638
Strafford No. 22,1405,1457,5,2867,(1/1),TRUE,1,1,1,1,-28.5,23.5,0,23.5,0,-0.994070456923614,0.819672131147541,0.819672131147541,-52,52
Strafford No. 23,1446,1612,4,3062,(1/1),TRUE,1,1,1,0,-85,81,0,81,0,-2.77596342259961,2.64532984977139,2.64532984977139,-166,166
Strafford No. 24,1256,1770,0,3026,(1/1),TRUE,1,1,1,0,-257,257,0,257,0,-8.49306014540648,8.49306014540648,8.49306014540648,-514,514
Strafford No. 25,2434,2548,0,4982,(1/1),TRUE,1,1,1,0,-57,57,0,57,0,-1.14411882778001,1.14411882778001,1.14411882778001,-114,114
